Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR492340,2012-05-31 14:52:53,2012-05-31 14:52:53,55026774,11115408348,55026774,202,7471,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492340/SRR492340.sra,SRX144968,Ove-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311348,SAMN00990174,simple,3702,Arabidopsis thaliana,Ove-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,056ED74D8E1862AD11FD8C1D111E8A87,014BACC74943B3F06E9C8595C55CF272
SRR492342,2012-05-31 14:52:53,2012-05-31 14:52:53,36819719,7437583238,36819719,202,4856,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492342/SRR492342.sra,SRX144970,PHW-2_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311349,SAMN00990175,simple,3702,Arabidopsis thaliana,PHW-2,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,6750672F645F0EAA321BD708138B9B34,455620C29244F52DEBEB459C27A613DD
SRR492343,2012-05-31 14:52:53,2012-05-31 14:52:53,54290306,10966641812,54290306,202,7163,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492343/SRR492343.sra,SRX144971,PHW-34_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311350,SAMN00990176,simple,3702,Arabidopsis thaliana,PHW-34,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,2BD5D05F22F51AC542C4F2DFEF5EE797,4E457C3A4ECB3BE4D640097D9B1B3D25
SRR492341,2012-05-31 14:52:53,2012-05-31 14:52:53,43699575,8827314150,43699575,202,5422,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492341/SRR492341.sra,SRX144969,Per-1_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072540,SAMN00012762,simple,3702,Arabidopsis thaliana,Per-1,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,AF38F76265529026B4D0E950B6F3E3F7,5A32C4509AB0AB65A20C3A803EFF4307
SRR492339,2012-05-31 14:52:53,2012-05-31 14:52:53,28763877,5810303154,28763877,202,3626,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492339/SRR492339.sra,SRX144967,Or-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072538,SAMN00012760,simple,3702,Arabidopsis thaliana,Or-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,E877AB5DEAF79EBF1B1522D49439840A,EC3CE88DE739643DAB8E3FA5CF27022B
SRR492338,2012-05-31 14:52:53,2012-05-31 14:52:53,16284295,3289427590,16284295,202,2137,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492338/SRR492338.sra,SRX144966,Old-1_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072537,SAMN00012759,simple,3702,Arabidopsis thaliana,Old-1,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,47D4B47278A75C51723C5F20661B448C,C1A5EF82EB902597C93306C485A21F45
SRR492344,2012-05-31 14:52:53,2012-05-31 14:52:53,37445277,7563945954,37445277,202,4642,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492344/SRR492344.sra,SRX144972,Pi-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072541,SAMN00012763,simple,3702,Arabidopsis thaliana,Pi-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,6B9FEDD008A173FBD7CF1A9D98893082,FC95440DD148011B2B5382A31B406054
SRR492348,2012-05-31 14:52:53,2012-05-31 14:52:53,39554912,7990092224,39554912,202,5036,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492348/SRR492348.sra,SRX144977,Pt-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072548,SAMN00012770,simple,3702,Arabidopsis thaliana,Pt-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,D5031A263BBFD6FE0CFAB2F7C82FA5E0,65BCFEEEA49C7F473DA2BD69EA758283
SRR492349,2012-05-31 14:52:53,2012-05-31 14:52:53,39740309,8027542418,39740309,202,4917,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492349/SRR492349.sra,SRX144978,Pu2-23_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072549,SAMN00012771,simple,3702,Arabidopsis thaliana,Pu2-23,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,BADEF510688C8057BD03641449D918F0,D0FCEDACA931D4FC6915D098A4A43A80
SRR492345,2012-05-31 14:52:53,2012-05-31 14:52:53,70846707,14311034814,70846707,202,9619,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492345/SRR492345.sra,SRX144973,Pla-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072542,SAMN00012764,simple,3702,Arabidopsis thaliana,Pla-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,0343717D9C69C55694A032E8E0773EB7,6CCEEF97B7E93B5445C248A8EEAABAD2
