Transposon_Name	orientation_is_5prime	Transposon_min_Start	Transposon_max_End	Transposon_Family	Transposon_Super_Family
AT1TE52125	false	15827287	15838845	ATHILA2	LTR/Gypsy
AT1TE42735	true	13085455	13085593	ATCOPIA68	LTR/Copia
AT1TE36140	true	11181821	11181959	ATCOPIA27	LTR/Copia
AT1TE21850	true	6759762	6759900	ATREP11	RC/Helitron
AT1TE95105	true	29079013	29079151	ATREP3	RC/Helitron
AT1TE18375	true	5681490	5681628	TAG2	DNA/HAT
AT1TE65535	true	19822380	19824568	HELITRONY3	RC/Helitron
AT1TE11410	true	3506360	3506498	ATCOPIA68	LTR/Copia
AT1TE68360	true	20699111	20699248	ATCOPIA24	LTR/Copia
AT1TE19300	true	5967433	5967570	ATHPOGON1	DNA/Pogo
AT1TE63050	false	19030078	19030213	HELITRONY3	RC/Helitron
AT1TE53750	false	16325184	16327367	ATREP3	RC/Helitron
AT1TE38930	true	12014741	12014878	ATHATN4	DNA/HAT
AT1TE40925	false	12562100	12564283	ATREP3	RC/Helitron
AT1TE42110	false	12918637	12918772	ATLINE1A	LINE/L1
AT1TE63730	false	19233923	19234058	RathE1_cons	RathE1_cons
AT1TE49730	true	15149755	15149893	ATENSPM3	DNA/En-Spm
AT1TE46155	false	14049537	14049673	VANDAL3	DNA/MuDR
AT1TE36900	false	11410705	11410726	HELITRONY1B	RC/Helitron
AT1TE68520	false	20748621	20748758	HELITRONY1B	RC/Helitron
AT1TE43535	false	13314042	13314155	ATREP11A	RC/Helitron
AT1TE71890	true	21779493	21779632	HELITRONY1D	RC/Helitron
AT1TE63860	true	19267200	19267310	HELITRONY1B	RC/Helitron
AT1TE64050	false	19326868	19327005	ATREP11A	RC/Helitron
AT1TE23280	false	7202163	7202263	HELITRONY3A	RC/Helitron
AT1TE31580	true	9815682	9815773	ATREP3	RC/Helitron
AT1TE55320	false	16742379	16751122	ATENSPM6	DNA/En-Spm
AT1TE52710	false	15991343	15991480	TNAT1A	DNA
AT1TE36560	false	11301592	11301728	ATMUNX1	DNA/MuDR
AT1TE65335	true	19763827	19763965	ATREP10A	RC/Helitron
AT1TE66080	false	19993529	19993664	ATREP2A	RC/Helitron
AT1TE90830	false	27758287	27758423	ATHILA	LTR/Gypsy
AT1TE24580	true	7630434	7630573	ATCOPIA26	LTR/Copia
AT1TE18795	true	5812561	5812700	ATREP15	RC/Helitron
AT1TE67710	false	20497386	20497522	RathE1_cons	RathE1_cons
AT1TE42340	false	12983044	12983179	BRODYAGA1A	DNA/MuDR
AT1TE60660	true	18302689	18302776	HELITRONY3	RC/Helitron
AT1TE27660	false	8573497	8573632	ATMUNX1	DNA/MuDR
AT1TE98890	false	30250487	30250620	ATREP11	RC/Helitron
AT1TE60710	false	18317497	18317566	ATREP4	RC/Helitron
AT1TE54815	true	16637546	16637681	ARNOLD2	DNA/MuDR
AT1TE43800	true	13397404	13397539	ATHILA4D_LTR	LTR/Gypsy
AT1TE42990	true	13171360	13171380	ATREP3	RC/Helitron
AT1TE20740	false	6402736	6402869	ATREP14	RC/Helitron
AT1TE26840	true	8322276	8322411	ATENSPM10	DNA/En-Spm
AT1TE46570	false	14177934	14178066	ATHILA2	LTR/Gypsy
AT1TE67905	false	20554066	20554102	ATCOPIA80	LTR/Copia
AT1TE82050	true	24977684	24977818	ATLINE1_3A	LINE/L1
AT1TE24780	true	7690038	7690172	ATLINE2	LINE/L1
AT1TE41795	true	12841755	12841890	ATCOPIA57	LTR/Copia
AT1TE08230	false	2526624	2526756	ATHILA7A	LTR/Gypsy
AT1TE63975	true	19301675	19301809	HELITRONY2	RC/Helitron
AT1TE55060	false	16691401	16691533	HELITRONY3	RC/Helitron
AT1TE82620	true	25170583	25170717	ATREP18	DNA
AT1TE80045	true	24356397	24356536	RathE1_cons	RathE1_cons
AT1TE76290	true	23143346	23143481	ATCOPIA85	LTR/Copia
AT1TE57310	false	17293310	17293444	RathE1_cons	RathE1_cons
AT1TE49330	false	15076084	15078266	ATHILA6A	LTR/Gypsy
AT1TE50650	false	15352447	15354854	ATREP18	DNA
AT1TE60185	true	18163937	18164074	VANDAL16	DNA/MuDR
AT1TE47540	true	14427922	14449178	ATHILA4C	LTR/Gypsy
AT1TE31895	true	9899847	9899984	ATDNAI27T9C	DNA/MuDR
AT1TE70050	true	21191750	21191886	ATCOPIA84	LTR/Copia
AT1TE84655	false	25823826	25823960	ATCOPIA28	LTR/Copia
AT1TE23040	false	7125860	7125994	ATDNA1T9A	DNA/MuDR
AT1TE41720	false	12809579	12809650	HELITRONY1D	RC/Helitron
AT1TE49490	false	15111117	15111251	ATREP18	DNA
AT1TE30045	true	9318360	9318496	VANDAL1	DNA/MuDR
AT1TE02275	true	697952	698088	HELITRONY3	RC/Helitron
AT1TE51175	true	15547275	15549791	ATLANTYS2	LTR/Gypsy
